Address,Latitude,Longitude
"1815 Ashland Ave, Baltimore",39.30044,-76.59156
"206 N Broadway, Baltimore",39.29414,-76.59909
"250 South Broadway, Baltimore",39.28773,-76.59392
"522 South Broadway, Baltimore",39.28482,-76.59375
"1400 Thames Street, Baltimore",39.28093,-76.59506
"615 President St, Baltimore",39.28387,-76.60101
"830 E Pratt St, Baltimore",39.2873,-76.60379
"729 East Baltimore Street, Baltimore",39.28984,-76.60545
"221 N Gay St, Baltimore",39.29291,-76.60817
"North High Street, Baltimore",39.29368,-76.60676
"437 Fallsway, Baltimore",39.29425,-76.60984
"220 East Lexington Street, Baltimore",39.29129,-76.61119
"501 East Baltimore Street, Baltimore",39.289711,-76.61061096
"701 East Baltimore Street, Baltimore",39.28971,-76.60639
"300 President Street, Baltimore",39.28548,-76.60349
"630 South Exeter Street, Baltimore",39.28392,-76.60064
"1500 Thames St, Baltimore",39.28034,-76.59592
"601 S Caroline St, Baltimore",39.2842,-76.59644
"303 South Broadway, Baltimore",39.28743,-76.59329
"201 North Broadway, Baltimore",39.29458,-76.59369
"801 North Washington Street, Baltimore",39.29973,-76.58943
"1815 Ashland Ave, Baltimore",39.300442,-76.59156
