Address,Latitude,Longitude
"400 East Lombard Street, Baltimore",39.2881457,-76.6098893
"31 Light St, Baltimore",39.2879616,-76.6132876
"Inner Harbor Skywalk, Baltimore",39.2875942,-76.6157739
"221 W Lombard St, Baltimore",39.2872531,-76.6187291
"Museum Of Dentistry, West Lombard Street, Baltimore",39.29038,-76.61219
"20 Penn St, Baltimore",39.2877538,-76.6264155
"737 W Lombard St, Baltimore",39.286917,-76.6275065
"764 West Baltimore Street, Baltimore",39.2891139,-76.6288085
"1 North Poppleton Street, Baltimore",39.2891493,-76.631681
"1037 West Baltimore Street, Baltimore",39.2886111,-76.635
"1020 W Pratt St, Baltimore",39.2859453,-76.6347107
"901 W Baltimore St, Baltimore",39.28875,-76.632299
"762 West Baltimore Street, Baltimore",39.2891137,-76.6287334
"South Pine Street, Baltimore",39.2888618,-76.6267651
"601 West Baltimore Street, Baltimore",39.28906,-76.62526
"Univ. Of Md Medical Center, West Lombard Street, Baltimore",39.28783035,-76.62317657
"Eutaw Street - Camden Yards, Hilton Baltimore, Baltimore",39.28398514,-76.62160492
"South Howard Street, Baltimore",39.2868633,-76.6192607
"100 W Pratt St, Baltimore",39.2866613,-76.617187
"Light Street, Baltimore",39.27165985,-76.6115799
"501 East Pratt Street, Baltimore",39.2850365,-76.6082365
"111 Market Place, Baltimore",39.2870697,-76.6062776
"300 President Street, Baltimore",39.2839865,-76.6024556
"630 South Exeter Street, Baltimore",39.2841007,-76.6004663
"1501 Bank Street, Baltimore",39.2862674,-76.5966572
"1020 East Lombard Street, Baltimore",39.2897043,-76.6014852
"858 E Lombard St, Baltimore",39.287706,-76.6094219
"President Street - Reginald F. Lewis Museum, West Falls Avenue, Baltimore",39.286513,-76.614896
"400 East Lombard Street, Baltimore",39.2881457,-76.6098893
