Address,Latitude ,Longitude
"1525 N Charles St, Baltimore",39.30668,-76.61624
"1731 North Charles Street, Baltimore",39.30967,-76.61624
"2127 North Charles Street, Baltimore",39.31406,-76.61652
"2445 North Charles Street, Baltimore",39.31768,-76.61675
"2647 North Charles Street, Baltimore",39.32053,-76.61693
"North Charles Street, Baltimore",39.35358,-76.62359
"3200 Saint Paul St, Baltimore",39.32783,-76.61637
"2844 Saint Paul Street, Baltimore",39.32311,-76.61594
"38 East 25th Street, Baltimore",39.31807,-76.61558
"2128 Saint Paul Street, Baltimore",39.31416,-76.6154
"37 E North Ave, Baltimore",39.3109,-76.61511
"Saint Paul Street, Baltimore",39.32013,-76.61555
"1012 Saint Paul Street, Baltimore",39.30178,-76.6146
"24 E Madison St, Baltimore",39.29882,-76.61432
"600 Saint Paul St, Baltimore",39.29649,-76.61374
"404 Saint Paul Place, Baltimore",39.2944,-76.61449
"300 Saint Paul Place, Baltimore",39.29271,-76.61433
"12 East Fayette Street, Baltimore",39.29043,-76.61492
"Light Street, Baltimore",39.27859,-76.61256
"414 Light Street, Baltimore",39.28383,-76.61347
"East Lee Street, Baltimore",39.28218,-76.61287
"738 Light Street, Baltimore",39.28006,-76.61291
"1044 Light Street, Baltimore",39.27728,-76.61245
"1306 Light St, Baltimore",39.27454,-76.61224
"1439 South Charles Street, Baltimore",39.27275,-76.61387
"1201 South Charles Street, Baltimore",39.27566,-76.61406
"901 South Charles Street, Baltimore",39.27898,-76.61444
"Key Highway - Maryland Science Center Light Street, Baltimore",39.28082,-76.61277
"Baltimore Visitor Center Light Street, Baltimore",39.27859,-76.61256
"200 E Pratt St, Baltimore",39.28735,-76.61147
"East Redwood Street, Baltimore",39.28887,-76.61297
"101 North Charles Street, Baltimore",39.29055,-76.61493
"333 North Charles Street, Baltimore",39.29363,-76.6152
"501 N Charles St, Baltimore",39.2954,-76.6153
"2 East Mount Vernon Place, Baltimore",39.29789,-76.61523
"1 West Eager Street, Baltimore",39.30096,-76.6159
"1130 North Charles Street, Baltimore",39.30327,-76.61627
"1525 N Charles St, Baltimore",39.306679,-76.616241
