X,Y,fid,xobjectid,xloc_name,xst_ref_id,gis_id,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,gc_status,gc_score,street_tag,prcl_pin,address,city,state,zipcode,x_coord,y_coord,name,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,globalid,url
-8535470.9361272,4766209.92656769,1,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,3427 CLIFTON AVE,BALTIMORE,MD,21216,427991.80430646,182497.1075774,SAVE-A-LOT, , , , ,0, , , , , ,{D5F99F52-A50F-4AD3-A591-9927B2A3E849},http://save-a-lot.com/
-8523919.78948855,4764016.41561808,2,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,3250 E FAYETTE ST,BALTIMORE,MD,21224,436948.93990646,180841.2519774,ALDI, , , , ,0, , , , , ,{C9B9986F-7840-493C-8A85-DE065EE4A19D},http://aldi.us/
-8520919.46375339,4768121.71726008,3,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,5150  SINCLAIR LN,BALTIMORE,MD,21206,439258.12100646,184020.3162774,GIANT FOOD STORE, , , , ,0, , , , , ,{A2964625-33FF-4328-A4B7-8FC56C2BB6F6},http://www.giantfood.com/
-8538023.53663892,4771405.7987811,4,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,5600 WABASH AVE,BALTIMORE,MD,21215,426000.94060646,186498.6249774,FOOD KING SUPERMARKET, , , , ,0, , , , , ,{6D9FE65D-05CE-427A-BEDA-4519730E2CC9},none
-8531231.79680856,4762362.3643418,5,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,1201 W PRATT ST,BALTIMORE,MD,21223,431287.85720646,179540.0106774,PRICERITE, , , , ,0, , , , , ,{39C5A5C1-2079-478B-9D9B-7A198E1933FB},http://www.priceritesupermarkets.com/
-8527050.64608375,4762449.24755774,6,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,1001 FLEET ST,BALTIMORE,MD,21202,434528.11000646,179620.6168774,WHOLE FOODS MARKET, , , , ,0, , , , , ,{513B9BB0-B360-4CDF-8286-0FAAE481A76C},http://wholefoodsmarket.com/stores/harboreast/
-8530992.96280139,4770294.18903919,7,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,1020 W 41ST ST,BALTIMORE,MD,21211,431448.50570646,185661.1292774,GIANT FOOD STORE, , , , ,0, , , , , ,{7629BCED-7338-4152-92CB-C160F5FD0CEE},https://giantfood.com/
-8538679.23832385,4772775.93809987,8,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,6500  REISTERSTOWN RD,BALTIMORE,MD,21215,425489.77290646,187553.6059774,GIANT FOOD STORE, , , , ,0, , , , , ,{30D5B88C-D68E-46A9-91DA-876C7DFE17F2},http://www.giantfood.com/
-8522999.61690602,4763549.92932999,9,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,3800 E LOMBARD ST,BALTIMORE,MD,21224,437663.71230646,180484.5903774,HAZLO INTERNATIONAL FOODS, , , , ,0, , , , , ,{90CECF25-65C1-4640-9121-7806E0CE7962},none
-8523911.64455721,4770407.77402831,10,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,4401  HARFORD RD,BALTIMORE,MD,21214,436932.10990646,185772.5642774,SAFEWAY, , , , ,0, , , , , ,{07563498-B462-4EB2-967E-A98C68559FE2},http://www.safeway.com/
